drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
1/28/2015,23,25,27,31,41,0,728,18
1/29/2015,4,21,26,37,43,0,544,18
1/30/2015,15,22,23,36,43,0,591,17
1/31/2015,13,17,18,21,31,633216,399,13
2/1/2015,6,17,19,28,41,0,498,15
2/2/2015,4,5,7,13,34,0,563,12
2/3/2015,2,4,16,28,33,276773,444,13
2/4/2015,22,24,29,35,36,78869,567,17
2/5/2015,4,10,19,22,39,0,431,12
2/6/2015,2,9,15,22,37,0,489,14
2/7/2015,11,12,13,42,43,313486,702,17
2/8/2015,2,9,12,18,35,0,435,12
2/9/2015,3,7,9,15,34,0,441,11
2/10/2015,4,13,15,17,24,0,406,12
2/11/2015,11,15,28,35,43,232787,528,16
2/12/2015,5,6,7,18,34,0,502,13
2/13/2015,1,24,33,34,41,0,663,20
2/14/2015,16,22,24,25,43,0,520,17
2/15/2015,11,16,19,22,24,0,426,12
2/16/2015,1,15,17,20,40,0,598,15
2/17/2015,1,21,24,30,37,0,581,16
2/18/2015,7,12,17,22,32,385267,372,13
2/19/2015,4,13,14,37,38,81218,624,17
2/20/2015,10,12,18,33,43,82983,719,17
2/21/2015,2,8,17,23,37,72583,454,13
2/22/2015,3,6,14,15,24,65558,389,12
2/23/2015,7,23,25,29,34,0,631,14
2/24/2015,6,17,25,33,37,0,652,16
2/25/2015,4,21,30,37,39,0,600,16
2/26/2015,14,15,17,27,40,487434,553,14
2/27/2015,19,21,31,35,43,0,741,18
2/28/2015,5,13,15,32,40,0,572,16
3/1/2015,6,9,13,36,43,0,589,17
3/2/2015,2,14,19,21,22,464724,446,12
3/3/2015,16,19,23,36,37,0,609,18
3/4/2015,6,10,30,36,41,0,622,18
3/5/2015,3,8,13,19,42,289848,679,13
3/6/2015,12,20,23,25,26,0,434,12
3/7/2015,9,18,31,34,36,0,628,16
3/8/2015,24,25,33,39,41,0,923,18
3/9/2015,8,21,33,34,39,457512,604,16
3/10/2015,1,2,13,15,42,0,638,17
3/11/2015,2,13,30,39,42,0,849,19
3/12/2015,11,13,16,24,35,0,539,15
3/13/2015,5,14,19,33,41,0,507,15
3/14/2015,4,5,12,23,41,697352,493,14
3/15/2015,3,11,17,41,42,0,657,18
3/16/2015,2,6,8,30,42,0,512,14
3/17/2015,10,12,20,30,33,0,425,13
3/18/2015,11,18,21,36,41,0,614,17
3/19/2015,1,3,17,28,42,0,506,15
3/20/2015,9,15,27,28,30,964534,450,13
3/21/2015,1,15,19,36,42,0,898,19
3/22/2015,1,10,13,14,34,165107,562,14
3/23/2015,5,9,14,15,21,0,315,10
3/24/2015,4,27,28,35,38,189307,584,16
3/25/2015,5,9,10,19,31,0,299,10
3/26/2015,2,4,32,34,36,0,614,17
3/27/2015,19,20,25,38,42,0,681,17
3/28/2015,4,6,14,35,37,0,551,16
3/29/2015,4,13,20,35,42,731700,573,17
3/30/2015,14,16,17,21,39,0,479,15
3/31/2015,7,10,13,21,35,62909,434,12
4/1/2015,2,4,27,28,42,82195,591,15
4/2/2015,18,22,23,38,39,0,544,18
4/3/2015,6,9,19,24,38,201046,412,13
4/4/2015,4,11,12,27,43,0,404,13
4/5/2015,4,18,23,30,41,0,738,16
4/6/2015,6,30,31,36,37,291814,636,17
4/7/2015,20,34,37,40,41,0,811,22
4/8/2015,8,22,29,30,33,0,415,14
4/9/2015,18,22,33,38,43,0,705,18
4/10/2015,28,33,37,40,43,268471,564,18
4/11/2015,25,27,37,41,42,0,856,22
4/12/2015,10,22,25,32,33,0,685,16
4/13/2015,29,30,32,33,35,0,638,17
4/14/2015,3,5,6,26,29,472271,384,12
4/15/2015,6,11,16,22,23,79496,349,12
4/16/2015,1,3,4,9,43,0,430,11
4/17/2015,2,15,22,41,42,0,683,18
4/18/2015,2,14,18,23,41,0,554,16
4/19/2015,12,15,25,31,35,0,487,14
4/20/2015,2,6,14,20,38,0,494,14
4/21/2015,7,22,23,30,32,0,519,15
4/22/2015,1,16,23,28,43,1388855,584,16
4/23/2015,5,22,34,37,38,42475,611,18
4/24/2015,1,6,13,33,41,0,627,17
4/25/2015,1,11,24,25,38,0,532,14
4/26/2015,2,9,21,37,39,299778,684,16
4/27/2015,14,24,26,27,28,0,430,13
4/28/2015,5,13,19,25,42,187962,445,14
4/29/2015,7,22,23,39,40,0,581,16
4/30/2015,6,10,33,38,41,0,585,18
5/1/2015,3,23,34,36,40,343929,605,17
5/2/2015,3,13,15,28,34,0,516,14
5/3/2015,6,8,13,22,36,0,451,14
5/4/2015,3,13,33,36,41,0,472,16
5/5/2015,2,7,17,22,42,0,516,14
5/6/2015,5,15,20,21,26,681087,392,13
5/7/2015,10,12,19,20,31,0,341,11
5/8/2015,8,14,17,22,26,97458,371,12
5/9/2015,3,20,22,38,40,0,818,18
5/10/2015,11,12,24,25,43,80581,560,15
5/11/2015,4,9,10,40,43,0,595,16
5/12/2015,6,8,21,29,30,0,344,12
5/13/2015,11,34,36,38,42,318645,516,18
5/14/2015,7,14,34,42,43,0,816,19
5/15/2015,2,21,30,32,39,0,714,17
5/16/2015,16,24,33,39,41,0,512,18
5/17/2015,13,16,20,34,38,0,530,16
5/18/2015,5,17,19,23,40,691306,431,13
5/19/2015,3,10,12,16,31,0,270,11
5/20/2015,6,16,23,27,31,175662,475,14
5/21/2015,4,10,29,35,40,0,563,16
5/22/2015,12,20,24,30,34,193374,498,15
5/23/2015,22,24,27,28,32,0,482,14
5/24/2015,5,6,20,26,43,0,565,16
5/25/2015,6,14,29,33,38,0,587,16
5/26/2015,8,9,13,29,40,403644,476,14
5/27/2015,18,21,33,34,37,0,826,17
5/28/2015,10,24,31,33,42,0,640,18
5/29/2015,1,4,9,12,35,314283,390,12
5/30/2015,10,25,29,38,40,71475,833,16
5/31/2015,13,27,28,32,36,0,522,16
6/1/2015,4,23,24,31,42,0,520,17
6/2/2015,8,11,28,30,37,0,487,14
6/3/2015,7,14,19,20,37,467485,575,14
6/4/2015,10,12,17,27,37,79993,381,12
6/5/2015,7,11,27,30,34,0,418,12
6/6/2015,4,9,12,30,39,0,474,13
6/7/2015,2,7,17,23,41,0,611,14
6/8/2015,7,10,30,34,36,0,532,15
6/9/2015,7,11,20,21,38,0,367,13
6/10/2015,7,10,12,27,33,915875,369,12
6/11/2015,4,7,8,19,27,40681,233,9
6/12/2015,6,16,19,28,38,0,471,14
6/13/2015,14,19,27,36,38,0,441,16
6/14/2015,1,6,15,35,38,0,776,16
6/15/2015,8,12,26,29,30,0,400,12
6/16/2015,20,21,27,39,42,0,664,18
6/17/2015,4,6,14,28,39,457867,474,14
6/18/2015,6,27,33,35,40,0,712,18
6/19/2015,1,10,24,32,38,0,620,17
6/20/2015,23,26,36,42,43,313662,718,19
6/21/2015,7,21,24,33,39,0,730,15
6/22/2015,15,20,32,34,41,0,683,20
6/23/2015,8,13,34,35,36,0,639,16
6/24/2015,7,11,12,31,39,0,490,13
6/25/2015,15,21,26,28,40,657215,639,15
6/26/2015,5,18,20,28,39,0,589,14
6/27/2015,6,18,28,34,39,0,740,16
6/28/2015,1,24,29,40,42,0,651,19
6/29/2015,12,17,24,28,29,437818,433,13
6/30/2015,12,17,24,27,33,76715,376,12
7/1/2015,1,10,11,14,38,0,568,14
7/2/2015,20,34,35,39,40,0,515,17
7/3/2015,4,7,21,37,41,0,508,15
7/4/2015,7,12,28,38,39,0,425,14
7/5/2015,5,13,16,21,25,0,346,12
7/6/2015,27,37,39,41,43,181978,459,17
7/7/2015,6,17,26,32,42,0,841,19
7/8/2015,3,15,18,30,37,0,461,15
7/9/2015,4,5,6,15,22,0,363,11
7/10/2015,23,27,36,40,41,0,664,18
7/11/2015,1,3,11,26,42,0,484,15
7/12/2015,19,32,33,34,43,890682,615,17
7/13/2015,15,19,21,40,41,0,838,18
7/14/2015,1,14,26,36,43,181686,692,19
7/15/2015,3,5,7,12,24,38100,181,8
7/16/2015,10,28,36,37,42,0,1067,20
7/17/2015,2,3,5,23,34,0,390,12
7/18/2015,1,4,6,9,12,313027,180,9
7/19/2015,5,7,8,21,41,0,493,12
7/20/2015,18,29,33,37,38,0,533,17
7/21/2015,12,15,23,36,42,297362,514,17
7/22/2015,4,34,37,39,40,0,551,17
7/23/2015,3,10,13,31,33,0,329,12
7/24/2015,1,9,18,35,38,154336,553,16
7/25/2015,12,18,26,33,35,0,631,17
7/26/2015,7,14,22,29,40,0,376,13
7/27/2015,3,8,13,39,42,0,784,16
7/28/2015,22,32,36,38,39,442639,467,17
7/29/2015,21,23,30,32,40,0,618,17
7/30/2015,2,3,13,20,28,0,417,12
7/31/2015,3,5,11,17,38,153410,396,12
8/1/2015,2,8,21,30,43,0,580,16
8/2/2015,8,9,14,35,42,0,786,17
8/3/2015,4,15,16,26,36,0,619,15
8/4/2015,15,26,33,42,43,0,724,18
8/5/2015,1,3,13,18,43,562638,503,14
8/6/2015,1,23,31,39,41,79629,769,20
8/7/2015,7,19,21,32,34,81530,467,14
8/8/2015,10,22,27,39,42,71870,565,17
8/9/2015,4,16,33,35,39,0,623,18
8/10/2015,19,22,30,33,42,0,649,18
8/11/2015,1,2,35,37,43,0,803,19
8/12/2015,12,14,23,33,41,451603,563,16
8/13/2015,2,26,29,35,43,0,720,20
8/14/2015,12,22,35,37,39,185404,680,16
8/15/2015,10,28,37,39,41,0,671,19
8/16/2015,5,7,8,16,23,153516,308,9
8/17/2015,2,11,15,36,39,0,550,17
8/18/2015,17,21,25,36,38,0,588,17
8/19/2015,2,6,29,35,41,0,811,17
8/20/2015,1,18,20,23,38,0,579,15
8/21/2015,9,18,27,28,39,330870,439,14
8/22/2015,6,12,16,17,31,0,447,12
8/23/2015,9,28,32,40,41,153692,618,19
8/24/2015,5,20,29,30,39,0,573,16
8/25/2015,5,15,18,23,43,0,478,14
8/26/2015,15,19,22,27,40,296176,486,14
8/27/2015,6,18,21,33,37,0,597,16
8/28/2015,12,20,24,28,33,183936,460,14
8/29/2015,9,15,17,23,25,0,340,12
8/30/2015,22,24,31,35,39,0,867,17
8/31/2015,5,15,26,41,42,0,684,17
9/1/2015,1,6,9,10,23,144615,284,11
9/2/2015,25,27,29,30,32,0,429,15
9/3/2015,2,4,19,37,39,0,487,15
9/4/2015,7,9,28,31,36,0,551,14
9/5/2015,16,19,24,32,39,0,615,16
9/6/2015,3,15,19,24,40,0,506,14
9/7/2015,11,17,27,33,36,867054,461,14
9/8/2015,8,13,14,16,36,0,529,15
9/9/2015,1,10,12,17,39,0,420,13
9/10/2015,3,26,37,40,43,296285,738,18
9/11/2015,10,18,24,31,43,0,614,16
9/12/2015,4,13,16,18,43,0,615,16
9/13/2015,1,12,14,23,30,286055,508,13
9/14/2015,7,12,20,37,42,0,528,17
9/15/2015,12,13,28,38,41,0,666,18
9/16/2015,3,17,31,42,43,0,606,17
9/17/2015,9,19,21,25,40,460744,565,13
9/18/2015,11,19,25,28,33,0,526,13
9/19/2015,11,12,16,17,27,0,296,11
9/20/2015,6,8,23,28,32,138972,554,14
9/21/2015,8,10,28,33,36,0,470,15
9/22/2015,15,17,28,36,38,0,535,15
9/23/2015,1,3,23,35,37,0,596,17
9/24/2015,10,16,18,25,30,229940,392,13
9/25/2015,5,8,16,18,25,0,309,10
9/26/2015,9,28,33,38,41,0,648,18
9/27/2015,11,15,16,20,27,0,441,13
9/28/2015,6,13,19,28,30,437385,426,13
9/29/2015,2,17,21,24,38,0,537,16
9/30/2015,5,7,10,16,25,168632,307,9
10/1/2015,1,8,23,27,42,0,529,15
10/2/2015,11,25,26,27,41,0,691,16
10/3/2015,10,17,30,31,35,289727,540,15
10/4/2015,26,30,33,34,39,0,721,19
10/5/2015,8,11,27,30,41,165977,416,14
10/6/2015,4,6,8,21,27,0,293,10
10/7/2015,6,7,10,13,40,0,400,12
10/8/2015,10,12,23,29,43,0,510,14
10/9/2015,5,12,17,23,29,0,278,11
10/10/2015,2,9,10,12,23,321247,337,11
10/11/2015,2,16,21,36,42,65863,768,19
10/12/2015,8,14,16,17,43,0,730,15
10/13/2015,1,7,9,32,41,0,642,16
10/14/2015,2,3,8,13,40,0,549,13
10/15/2015,1,34,35,36,42,0,602,18
10/16/2015,2,3,21,26,33,0,572,15
10/17/2015,1,10,39,40,42,469504,661,16
10/18/2015,3,6,18,25,40,0,476,14
10/19/2015,8,25,30,33,43,160636,648,17
10/20/2015,10,12,18,41,42,0,1085,17
10/21/2015,3,8,33,34,43,84119,710,17
10/22/2015,3,4,18,19,25,0,377,11
10/23/2015,7,18,30,32,38,91807,572,16
10/24/2015,2,8,15,17,23,0,267,10
10/25/2015,15,23,24,31,40,0,554,17
10/26/2015,4,6,23,32,33,273401,491,16
10/27/2015,6,17,28,32,38,0,577,15
10/28/2015,3,9,33,39,40,0,504,15
10/29/2015,4,20,26,35,41,0,964,18
10/30/2015,13,14,19,20,30,0,476,14
10/31/2015,6,10,18,25,40,667374,415,13
11/1/2015,5,17,24,35,40,0,679,17
11/2/2015,8,20,24,28,31,0,457,13
11/3/2015,6,10,16,23,34,0,473,14
11/4/2015,8,15,27,36,38,0,562,15
11/5/2015,5,11,17,18,20,0,359,11
11/6/2015,3,4,31,36,40,0,633,16
11/7/2015,3,25,26,29,32,665096,580,15
11/8/2015,3,36,37,39,43,0,625,19
11/9/2015,12,13,14,26,38,0,740,15
11/10/2015,9,15,29,31,35,0,483,15
11/11/2015,2,3,19,21,28,462004,426,13
11/12/2015,7,11,18,24,25,79578,271,10
11/13/2015,1,2,16,19,29,84273,413,12
11/14/2015,6,17,28,36,39,0,631,16
11/15/2015,16,17,23,25,29,0,293,12
11/16/2015,2,3,4,29,41,0,725,15
11/17/2015,10,22,27,32,39,0,578,16
11/18/2015,13,22,25,33,34,634831,510,16
11/19/2015,4,5,16,18,42,0,606,15
11/20/2015,11,12,18,33,35,0,478,15
11/21/2015,1,12,27,30,31,0,396,13
11/22/2015,2,6,10,27,31,226784,370,12
11/23/2015,13,25,28,32,41,0,738,19
11/24/2015,4,6,18,23,24,0,410,12
11/25/2015,16,17,19,34,43,0,570,16
11/26/2015,1,5,8,22,38,0,468,13
11/27/2015,7,23,29,32,40,613104,526,15
11/28/2015,7,10,16,31,41,0,615,15
11/29/2015,11,23,24,29,33,152817,503,13
11/30/2015,13,30,31,35,37,0,524,18
12/1/2015,13,19,21,27,39,0,469,14
12/2/2015,1,3,22,28,36,0,624,15
12/3/2015,3,13,14,16,21,0,445,13
12/4/2015,25,32,35,41,43,343708,638,18
12/5/2015,16,20,29,31,33,0,467,16
12/6/2015,1,3,15,23,26,0,372,13
12/7/2015,17,23,37,42,43,0,507,18
12/8/2015,2,4,9,29,37,146888,456,13
12/9/2015,20,24,30,39,43,0,665,20
12/10/2015,4,10,14,20,39,176047,561,14
12/11/2015,11,24,25,26,41,0,517,16
12/12/2015,13,19,35,39,43,0,596,17
12/13/2015,14,22,27,33,40,0,560,15
12/14/2015,17,19,20,38,39,0,534,16
12/15/2015,2,5,10,12,22,217805,263,10
12/16/2015,6,14,20,31,37,0,647,16
12/17/2015,1,4,10,21,39,0,516,13
12/18/2015,6,9,25,26,40,0,535,15
12/19/2015,1,10,28,32,41,0,673,17
12/20/2015,2,19,21,30,34,0,583,15
12/21/2015,7,8,14,41,43,929455,581,16
12/22/2015,4,26,34,36,40,0,874,20
12/23/2015,7,15,18,37,39,0,703,16
12/24/2015,12,13,25,32,43,0,663,16
12/26/2015,9,11,23,26,37,524273,503,14
12/27/2015,3,28,29,35,39,0,778,17
12/28/2015,9,10,18,28,37,0,635,14
12/29/2015,4,16,25,31,35,147324,646,16
12/30/2015,5,7,28,32,40,0,440,15
12/31/2015,1,15,17,19,40,0,589,14
