drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2015-01-28,23,25,27,31,41,0,728,18
2015-01-29,4,21,26,37,43,0,544,18
2015-01-30,15,22,23,36,43,0,591,17
2015-01-31,13,17,18,21,31,633216,399,13
2015-02-01,6,17,19,28,41,0,498,15
2015-02-02,4,5,7,13,34,0,563,12
2015-02-03,2,4,16,28,33,276773,444,13
2015-02-04,22,24,29,35,36,78869,567,17
2015-02-05,4,10,19,22,39,0,431,12
2015-02-06,2,9,15,22,37,0,489,14
2015-02-07,11,12,13,42,43,313486,702,17
2015-02-08,2,9,12,18,35,0,435,12
2015-02-09,3,7,9,15,34,0,441,11
2015-02-10,4,13,15,17,24,0,406,12
2015-02-11,11,15,28,35,43,232787,528,16
2015-02-12,5,6,7,18,34,0,502,13
2015-02-13,1,24,33,34,41,0,663,20
2015-02-14,16,22,24,25,43,0,520,17
2015-02-15,11,16,19,22,24,0,426,12
2015-02-16,1,15,17,20,40,0,598,15
2015-02-17,1,21,24,30,37,0,581,16
2015-02-18,7,12,17,22,32,385267,372,13
2015-02-19,4,13,14,37,38,81218,624,17
2015-02-20,10,12,18,33,43,82983,719,17
2015-02-21,2,8,17,23,37,72583,454,13
2015-02-22,3,6,14,15,24,65558,389,12
2015-02-23,7,23,25,29,34,0,631,14
2015-02-24,6,17,25,33,37,0,652,16
2015-02-25,4,21,30,37,39,0,600,16
2015-02-26,14,15,17,27,40,487434,553,14
2015-02-27,19,21,31,35,43,0,741,18
2015-02-28,5,13,15,32,40,0,572,16
2015-03-01,6,9,13,36,43,0,589,17
2015-03-02,2,14,19,21,22,464724,446,12
2015-03-03,16,19,23,36,37,0,609,18
2015-03-04,6,10,30,36,41,0,622,18
2015-03-05,3,8,13,19,42,289848,679,13
2015-03-06,12,20,23,25,26,0,434,12
2015-03-07,9,18,31,34,36,0,628,16
2015-03-08,24,25,33,39,41,0,923,18
2015-03-09,8,21,33,34,39,457512,604,16
2015-03-10,1,2,13,15,42,0,638,17
2015-03-11,2,13,30,39,42,0,849,19
2015-03-12,11,13,16,24,35,0,539,15
2015-03-13,5,14,19,33,41,0,507,15
2015-03-14,4,5,12,23,41,697352,493,14
2015-03-15,3,11,17,41,42,0,657,18
2015-03-16,2,6,8,30,42,0,512,14
2015-03-17,10,12,20,30,33,0,425,13
2015-03-18,11,18,21,36,41,0,614,17
2015-03-19,1,3,17,28,42,0,506,15
2015-03-20,9,15,27,28,30,964534,450,13
2015-03-21,1,15,19,36,42,0,898,19
2015-03-22,1,10,13,14,34,165107,562,14
2015-03-23,5,9,14,15,21,0,315,10
2015-03-24,4,27,28,35,38,189307,584,16
2015-03-25,5,9,10,19,31,0,299,10
2015-03-26,2,4,32,34,36,0,614,17
2015-03-27,19,20,25,38,42,0,681,17
2015-03-28,4,6,14,35,37,0,551,16
2015-03-29,4,13,20,35,42,731700,573,17
2015-03-30,14,16,17,21,39,0,479,15
2015-03-31,7,10,13,21,35,62909,434,12
2015-04-01,2,4,27,28,42,82195,591,15
2015-04-02,18,22,23,38,39,0,544,18
2015-04-03,6,9,19,24,38,201046,412,13
2015-04-04,4,11,12,27,43,0,404,13
2015-04-05,4,18,23,30,41,0,738,16
2015-04-06,6,30,31,36,37,291814,636,17
2015-04-07,20,34,37,40,41,0,811,22
2015-04-08,8,22,29,30,33,0,415,14
2015-04-09,18,22,33,38,43,0,705,18
2015-04-10,28,33,37,40,43,268471,564,18
2015-04-11,25,27,37,41,42,0,856,22
2015-04-12,10,22,25,32,33,0,685,16
2015-04-13,29,30,32,33,35,0,638,17
2015-04-14,3,5,6,26,29,472271,384,12
2015-04-15,6,11,16,22,23,79496,349,12
2015-04-16,1,3,4,9,43,0,430,11
2015-04-17,2,15,22,41,42,0,683,18
2015-04-18,2,14,18,23,41,0,554,16
2015-04-19,12,15,25,31,35,0,487,14
2015-04-20,2,6,14,20,38,0,494,14
2015-04-21,7,22,23,30,32,0,519,15
2015-04-22,1,16,23,28,43,1388855,584,16
2015-04-23,5,22,34,37,38,42475,611,18
2015-04-24,1,6,13,33,41,0,627,17
2015-04-25,1,11,24,25,38,0,532,14
2015-04-26,2,9,21,37,39,299778,684,16
2015-04-27,14,24,26,27,28,0,430,13
2015-04-28,5,13,19,25,42,187962,445,14
2015-04-29,7,22,23,39,40,0,581,16
2015-04-30,6,10,33,38,41,0,585,18
2015-05-01,3,23,34,36,40,343929,605,17
2015-05-02,3,13,15,28,34,0,516,14
2015-05-03,6,8,13,22,36,0,451,14
2015-05-04,3,13,33,36,41,0,472,16
2015-05-05,2,7,17,22,42,0,516,14
2015-05-06,5,15,20,21,26,681087,392,13
2015-05-07,10,12,19,20,31,0,341,11
2015-05-08,8,14,17,22,26,97458,371,12
2015-05-09,3,20,22,38,40,0,818,18
2015-05-10,11,12,24,25,43,80581,560,15
2015-05-11,4,9,10,40,43,0,595,16
2015-05-12,6,8,21,29,30,0,344,12
2015-05-13,11,34,36,38,42,318645,516,18
2015-05-14,7,14,34,42,43,0,816,19
2015-05-15,2,21,30,32,39,0,714,17
2015-05-16,16,24,33,39,41,0,512,18
2015-05-17,13,16,20,34,38,0,530,16
2015-05-18,5,17,19,23,40,691306,431,13
2015-05-19,3,10,12,16,31,0,270,11
2015-05-20,6,16,23,27,31,175662,475,14
2015-05-21,4,10,29,35,40,0,563,16
2015-05-22,12,20,24,30,34,193374,498,15
2015-05-23,22,24,27,28,32,0,482,14
2015-05-24,5,6,20,26,43,0,565,16
2015-05-25,6,14,29,33,38,0,587,16
2015-05-26,8,9,13,29,40,403644,476,14
2015-05-27,18,21,33,34,37,0,826,17
2015-05-28,10,24,31,33,42,0,640,18
2015-05-29,1,4,9,12,35,314283,390,12
2015-05-30,10,25,29,38,40,71475,833,16
2015-05-31,13,27,28,32,36,0,522,16
2015-06-01,4,23,24,31,42,0,520,17
2015-06-02,8,11,28,30,37,0,487,14
2015-06-03,7,14,19,20,37,467485,575,14
2015-06-04,10,12,17,27,37,79993,381,12
2015-06-05,7,11,27,30,34,0,418,12
2015-06-06,4,9,12,30,39,0,474,13
2015-06-07,2,7,17,23,41,0,611,14
2015-06-08,7,10,30,34,36,0,532,15
2015-06-09,7,11,20,21,38,0,367,13
2015-06-10,7,10,12,27,33,915875,369,12
2015-06-11,4,7,8,19,27,40681,233,9
2015-06-12,6,16,19,28,38,0,471,14
2015-06-13,14,19,27,36,38,0,441,16
2015-06-14,1,6,15,35,38,0,776,16
2015-06-15,8,12,26,29,30,0,400,12
2015-06-16,20,21,27,39,42,0,664,18
2015-06-17,4,6,14,28,39,457867,474,14
2015-06-18,6,27,33,35,40,0,712,18
2015-06-19,1,10,24,32,38,0,620,17
2015-06-20,23,26,36,42,43,313662,718,19
2015-06-21,7,21,24,33,39,0,730,15
2015-06-22,15,20,32,34,41,0,683,20
2015-06-23,8,13,34,35,36,0,639,16
2015-06-24,7,11,12,31,39,0,490,13
2015-06-25,15,21,26,28,40,657215,639,15
2015-06-26,5,18,20,28,39,0,589,14
2015-06-27,6,18,28,34,39,0,740,16
2015-06-28,1,24,29,40,42,0,651,19
2015-06-29,12,17,24,28,29,437818,433,13
2015-06-30,12,17,24,27,33,76715,376,12
2015-07-01,1,10,11,14,38,0,568,14
2015-07-02,20,34,35,39,40,0,515,17
2015-07-03,4,7,21,37,41,0,508,15
2015-07-04,7,12,28,38,39,0,425,14
2015-07-05,5,13,16,21,25,0,346,12
2015-07-06,27,37,39,41,43,181978,459,17
2015-07-07,6,17,26,32,42,0,841,19
2015-07-08,3,15,18,30,37,0,461,15
2015-07-09,4,5,6,15,22,0,363,11
2015-07-10,23,27,36,40,41,0,664,18
2015-07-11,1,3,11,26,42,0,484,15
2015-07-12,19,32,33,34,43,890682,615,17
2015-07-13,15,19,21,40,41,0,838,18
2015-07-14,1,14,26,36,43,181686,692,19
2015-07-15,3,5,7,12,24,38100,181,8
2015-07-16,10,28,36,37,42,0,1067,20
2015-07-17,2,3,5,23,34,0,390,12
2015-07-18,1,4,6,9,12,313027,180,9
2015-07-19,5,7,8,21,41,0,493,12
2015-07-20,18,29,33,37,38,0,533,17
2015-07-21,12,15,23,36,42,297362,514,17
2015-07-22,4,34,37,39,40,0,551,17
2015-07-23,3,10,13,31,33,0,329,12
2015-07-24,1,9,18,35,38,154336,553,16
2015-07-25,12,18,26,33,35,0,631,17
2015-07-26,7,14,22,29,40,0,376,13
2015-07-27,3,8,13,39,42,0,784,16
2015-07-28,22,32,36,38,39,442639,467,17
2015-07-29,21,23,30,32,40,0,618,17
2015-07-30,2,3,13,20,28,0,417,12
2015-07-31,3,5,11,17,38,153410,396,12
2015-08-01,2,8,21,30,43,0,580,16
2015-08-02,8,9,14,35,42,0,786,17
2015-08-03,4,15,16,26,36,0,619,15
2015-08-04,15,26,33,42,43,0,724,18
2015-08-05,1,3,13,18,43,562638,503,14
2015-08-06,1,23,31,39,41,79629,769,20
2015-08-07,7,19,21,32,34,81530,467,14
2015-08-08,10,22,27,39,42,71870,565,17
2015-08-09,4,16,33,35,39,0,623,18
2015-08-10,19,22,30,33,42,0,649,18
2015-08-11,1,2,35,37,43,0,803,19
2015-08-12,12,14,23,33,41,451603,563,16
2015-08-13,2,26,29,35,43,0,720,20
2015-08-14,12,22,35,37,39,185404,680,16
2015-08-15,10,28,37,39,41,0,671,19
2015-08-16,5,7,8,16,23,153516,308,9
2015-08-17,2,11,15,36,39,0,550,17
2015-08-18,17,21,25,36,38,0,588,17
2015-08-19,2,6,29,35,41,0,811,17
2015-08-20,1,18,20,23,38,0,579,15
2015-08-21,9,18,27,28,39,330870,439,14
2015-08-22,6,12,16,17,31,0,447,12
2015-08-23,9,28,32,40,41,153692,618,19
2015-08-24,5,20,29,30,39,0,573,16
2015-08-25,5,15,18,23,43,0,478,14
2015-08-26,15,19,22,27,40,296176,486,14
2015-08-27,6,18,21,33,37,0,597,16
2015-08-28,12,20,24,28,33,183936,460,14
2015-08-29,9,15,17,23,25,0,340,12
2015-08-30,22,24,31,35,39,0,867,17
2015-08-31,5,15,26,41,42,0,684,17
2015-09-01,1,6,9,10,23,144615,284,11
2015-09-02,25,27,29,30,32,0,429,15
2015-09-03,2,4,19,37,39,0,487,15
2015-09-04,7,9,28,31,36,0,551,14
2015-09-05,16,19,24,32,39,0,615,16
2015-09-06,3,15,19,24,40,0,506,14
2015-09-07,11,17,27,33,36,867054,461,14
2015-09-08,8,13,14,16,36,0,529,15
2015-09-09,1,10,12,17,39,0,420,13
2015-09-10,3,26,37,40,43,296285,738,18
2015-09-11,10,18,24,31,43,0,614,16
2015-09-12,4,13,16,18,43,0,615,16
2015-09-13,1,12,14,23,30,286055,508,13
2015-09-14,7,12,20,37,42,0,528,17
2015-09-15,12,13,28,38,41,0,666,18
2015-09-16,3,17,31,42,43,0,606,17
2015-09-17,9,19,21,25,40,460744,565,13
2015-09-18,11,19,25,28,33,0,526,13
2015-09-19,11,12,16,17,27,0,296,11
2015-09-20,6,8,23,28,32,138972,554,14
2015-09-21,8,10,28,33,36,0,470,15
2015-09-22,15,17,28,36,38,0,535,15
2015-09-23,1,3,23,35,37,0,596,17
2015-09-24,10,16,18,25,30,229940,392,13
2015-09-25,5,8,16,18,25,0,309,10
2015-09-26,9,28,33,38,41,0,648,18
2015-09-27,11,15,16,20,27,0,441,13
2015-09-28,6,13,19,28,30,437385,426,13
2015-09-29,2,17,21,24,38,0,537,16
2015-09-30,5,7,10,16,25,168632,307,9
2015-10-01,1,8,23,27,42,0,529,15
2015-10-02,11,25,26,27,41,0,691,16
2015-10-03,10,17,30,31,35,289727,540,15
2015-10-04,26,30,33,34,39,0,721,19
2015-10-05,8,11,27,30,41,165977,416,14
2015-10-06,4,6,8,21,27,0,293,10
2015-10-07,6,7,10,13,40,0,400,12
2015-10-08,10,12,23,29,43,0,510,14
2015-10-09,5,12,17,23,29,0,278,11
2015-10-10,2,9,10,12,23,321247,337,11
2015-10-11,2,16,21,36,42,65863,768,19
2015-10-12,8,14,16,17,43,0,730,15
2015-10-13,1,7,9,32,41,0,642,16
2015-10-14,2,3,8,13,40,0,549,13
2015-10-15,1,34,35,36,42,0,602,18
2015-10-16,2,3,21,26,33,0,572,15
2015-10-17,1,10,39,40,42,469504,661,16
2015-10-18,3,6,18,25,40,0,476,14
2015-10-19,8,25,30,33,43,160636,648,17
2015-10-20,10,12,18,41,42,0,1085,17
2015-10-21,3,8,33,34,43,84119,710,17
